Level,Hierarchical structure,Code,Class title,Class definition
1,Division,RDT1 ,Basic research,"Basic research refers to experimental and theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view."
1,Division,RDT2 ,Applied research,"Applied research refers to original investigation undertaken in order to acquire new knowledge. It is, however, directed primarily towards a specific, practical aim or objective."
1,Division,RDT3 ,Experimental development,"Experimental development refers to systematic work, drawing on knowledge gained from research and practical experience and producing additional knowledge, which is directed to producing new products or processes or to improving existing products or processes."
