Level,Hierarchical structure,Code,Parent,Class title,Class definition
4,Subclass (Field),RDF6010305,RDF60103,Jewish studies,This subclass comprises research and experimental development in Jewish studies.
4,Subclass (Field),RDF6010306,RDF60103,Religion and society,This subclass comprises research and experimental development in religion and society.
4,Subclass (Field),RDF6010307,RDF60103,Eastern religions,This subclass comprises research and experimental development in Eastern religions.
4,Subclass (Field),RDF6010308,RDF60103,Classical religion,This subclass comprises research and experimental development in classical religion.
4,Subclass (Field),RDF6010399,RDF60103,"Religion and religious studies, n.e.c.","This subclass comprises research and experimental development in religion and religious studies, n.e.c."
3,Class,RDF60199,RDF601,Other studies related to history and archaeology,This class comprises research and experimental development in other studies related to history and archaeology.
4,Subclass (Field),RDF6019999,RDF60199,Other studies related to history and archaeology,"This subclass comprises research and experimental development in other studies related to history and archaeology, n.e.c."
2,Group,RDF602,RDF60,Languages and literature,This group comprises research and experimental development in languages and literature.
3,Class,RDF60201,RDF602,Languages,This class comprises research and experimental development in languages.
4,Subclass (Field),RDF6020101,RDF60201,English language,This subclass comprises research and experimental development in English language.
4,Subclass (Field),RDF6020102,RDF60201,French language,This subclass comprises research and experimental development in French language.
4,Subclass (Field),RDF6020103,RDF60201,Spanish language,This subclass comprises research and experimental development in Spanish language.
4,Subclass (Field),RDF6020104,RDF60201,Chinese language,This subclass comprises research and experimental development in Chinese language.
4,Subclass (Field),RDF6020105,RDF60201,Arabic language,This subclass comprises research and experimental development in Arabic language.
4,Subclass (Field),RDF6020106,RDF60201,African languages,This subclass comprises research and experimental development in African languages.
4,Subclass (Field),RDF6020107,RDF60201,Oceania and Pacific island languages,This subclass comprises research and experimental development in Oceania and Pacific island languages.
4,Subclass (Field),RDF6020108,RDF60201,North American Indigenous languages,This subclass comprises research and experimental development in North American Indigenous languages.
4,Subclass (Field),RDF6020109,RDF60201,Asian languages (except chinese language),This subclass comprises research and experimental development in Asian languages (except chinese language).
4,Subclass (Field),RDF6020110,RDF60201,Other South and Central American languages,This subclass comprises research and experimental development in Other South and Central American languages.
4,Subclass (Field),RDF6020111,RDF60201,Other European languages,This subclass comprises research and experimental development in Other European languages.
4,Subclass (Field),RDF6020112,RDF60201,Comparative language studies,This subclass comprises research and experimental development in comparative language studies.
4,Subclass (Field),RDF6020113,RDF60201,Bilingualism and second language learning,This subclass comprises research and experimental development in bilingualism and second language learning.
4,Subclass (Field),RDF6020199,RDF60201,"Languages, n.e.c.","This subclass comprises research and experimental development in languages, n.e.c."
3,Class,RDF60202,RDF602,Linguistics,This class comprises research and experimental development in linguistics.
4,Subclass (Field),RDF6020201,RDF60202,Classical linguistics,This subclass comprises research and experimental development in classical linguistics.
4,Subclass (Field),RDF6020202,RDF60202,Computational linguistics,This subclass comprises research and experimental development in computational linguistics.
4,Subclass (Field),RDF6020203,RDF60202,Discourse and pragmatics,This subclass comprises research and experimental development in discourse and pragmatics.
4,Subclass (Field),RDF6020204,RDF60202,Phonetics and speech sciences,This subclass comprises research and experimental development in phonetics and speech sciences.
4,Subclass (Field),RDF6020205,RDF60202,Sociolinguistics,This subclass comprises research and experimental development in sociolinguistics.
4,Subclass (Field),RDF6020206,RDF60202,"Historical linguistics, diachronics, and dialectology","This subclass comprises research and experimental development in historical linguistics, diachronics, and dialectology."
4,Subclass (Field),RDF6020207,RDF60202,Lexicography,This subclass comprises research and experimental development in lexicography.
4,Subclass (Field),RDF6020208,RDF60202,"Linguistic structures (including grammar, phonology, lexicon and semantics)","This subclass comprises research and experimental development in linguistic structures (including grammar, phonology, lexicon and semantics)."
4,Subclass (Field),RDF6020209,RDF60202,Lexicology (including onomastics),This subclass comprises research and experimental development in lexicology (including onomastics).
4,Subclass (Field),RDF6020210,RDF60202,Comparative linguistics,This subclass comprises research and experimental development in comparative linguistics.
4,Subclass (Field),RDF6020211,RDF60202,Translation studies,"This subclass comprises research and experimental development in translation studies, as an interdisciplinary field of study."
4,Subclass (Field),RDF6020299,RDF60202,"Linguistics, n.e.c.","This subclass comprises research and experimental development in linguistics, n.e.c."
3,Class,RDF60203,RDF602,Literature and literary studies,This class comprises research and experimental development in literature and literary studies.
4,Subclass (Field),RDF6020301,RDF60203,Canadian literatures in English,This subclass comprises research and experimental development in Canadian literatures in English.
4,Subclass (Field),RDF6020302,RDF60203,Quebec literatures,This subclass comprises research and experimental development in Quebec literatures.
4,Subclass (Field),RDF6020303,RDF60203,Indigenous literatures,This subclass comprises research and experimental development in Indigenous literatures.
4,Subclass (Field),RDF6020304,RDF60203,Literatures in French outside Quebec,This subclass comprises research and experimental development in literatures in French outside Quebec.
4,Subclass (Field),RDF6020305,RDF60203,British literatures,This subclass comprises research and experimental development in British literatures.
4,Subclass (Field),RDF6020306,RDF60203,Greek and roman literatures,This subclass comprises research and experimental development in Greek and roman literatures.
4,Subclass (Field),RDF6020307,RDF60203,Chinese literatures,This subclass comprises research and experimental development in Chinese literatures.
4,Subclass (Field),RDF6020308,RDF60203,Arabic literatures,This subclass comprises research and experimental development in Arabic literatures.
4,Subclass (Field),RDF6020309,RDF60203,African literatures,This subclass comprises research and experimental development in African literatures.
4,Subclass (Field),RDF6020310,RDF60203,Old English literatures,This subclass comprises research and experimental development in old English literatures.
4,Subclass (Field),RDF6020311,RDF60203,Medieval Literatures,This subclass comprises research and experimental development in Medieval Literatures.
4,Subclass (Field),RDF6020312,RDF60203,Victorian literatures,This subclass comprises research and experimental development in Victorian literatures.
4,Subclass (Field),RDF6020313,RDF60203,Twentieth-century British literatures,This subclass comprises research and experimental development in Twentieth-century British literatures.
4,Subclass (Field),RDF6020314,RDF60203,Contemporary British literatures,This subclass comprises research and experimental development in contemporary British literatures.
4,Subclass (Field),RDF6020315,RDF60203,Irish literatures,This subclass comprises research and experimental development in Irish literatures.
4,Subclass (Field),RDF6020316,RDF60203,American literatures,This subclass comprises research and experimental development in American literatures.
4,Subclass (Field),RDF6020317,RDF60203,Latin American literatures,This subclass comprises research and experimental development in Latin American literatures.
4,Subclass (Field),RDF6020318,RDF60203,Caribbean literatures,This subclass comprises research and experimental development in Caribbean literatures.
4,Subclass (Field),RDF6020319,RDF60203,South Asian literatures,This subclass comprises research and experimental development in South Asian literatures.
4,Subclass (Field),RDF6020320,RDF60203,"Australia, New Zealand, and New South Wales literatures","This subclass comprises research and experimental development in Australia, New Zealand, and New South Wales literatures."
4,Subclass (Field),RDF6020321,RDF60203,Postcolonial literatures,This subclass comprises research and experimental development in postcolonial literatures.
4,Subclass (Field),RDF6020322,RDF60203,Renaissance literatures,This subclass comprises research and experimental development in renaissance literatures.
4,Subclass (Field),RDF6020323,RDF60203,Classical literatures,This subclass comprises research and experimental development in classical literatures.
4,Subclass (Field),RDF6020324,RDF60203,Contemporary literatures,This subclass comprises research and experimental development in contemporary literatures.
4,Subclass (Field),RDF6020325,RDF60203,Science fiction and fantasy literatures,This subclass comprises research and experimental development in science fiction and fantasy literatures.
4,Subclass (Field),RDF6020326,RDF60203,Children's literatures,This subclass comprises research and experimental development in children's literatures.
4,Subclass (Field),RDF6020327,RDF60203,Literature and critical theory,This subclass comprises research and experimental development in literature and critical theory.
4,Subclass (Field),RDF6020328,RDF60203,Intellectual history in literary studies,This subclass comprises research and experimental development in intellectual history in literary studies.
4,Subclass (Field),RDF6020329,RDF60203,Comparative literatures,This subclass comprises research and experimental development in comparative literatures.
4,Subclass (Field),RDF6020330,RDF60203,Electronic literatures,This subclass comprises research and experimental development in electronic literatures.
4,Subclass (Field),RDF6020399,RDF60203,"Literature and literary studies, n.e.c.","This subclass comprises research and experimental development in literature and literary studies, n.e.c."
3,Class,RDF60299,RDF602,Other languages and literature,This class comprises research and experimental development in other languages and literature.
4,Subclass (Field),RDF6029999,RDF60299,Other languages and literature,"This subclass comprises research and experimental development in other languages and literature, n.e.c."
2,Group,RDF603,RDF60,Philosophy,This group comprises research and experimental development in philosophy (including ethics and religion).
3,Class,RDF60301,RDF603,Philosophy (except philosophy of specific fields),This class comprises research and experimental development in philosophy (except philosophy of specific fields).
4,Subclass (Field),RDF6030101,RDF60301,Aesthetics,This subclass comprises research and experimental development in aesthetics.
4,Subclass (Field),RDF6030102,RDF60301,Environmental philosophy,This subclass comprises research and experimental development in environmental philosophy.
4,Subclass (Field),RDF6030103,RDF60301,Epistemology,This subclass comprises research and experimental development in epistemology and philosophy of science.
4,Subclass (Field),RDF6030104,RDF60301,Feminist philosophy,This subclass comprises research and experimental development in feminist philosophy.
4,Subclass (Field),RDF6030105,RDF60301,Philosophy of sexuality,This subclass comprises research and experimental development in philosophy of sexuality.
4,Subclass (Field),RDF6030106,RDF60301,Logic,This subclass comprises research and experimental development in logic.
