Journal title,Journal ISSN (print version),Journal EISSN (online version),Deposit policy directory,URL for deposit policy
"Discours : Revue de linguistique, psycholinguistique et informatique",,1963-1723,Mir@bel,https://reseau-mirabel.info/revue/titre-id/659
Double jeu,1762-0597,2610-072X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4906
Études irlandaises,0183-973X,2259-8863,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1723
Kentron,0765-0590,2264-1459,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5396
Questions de style,,1769-6909,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5388
Syntaxe et sémantique,1623-6742,2271-2852,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2101
Tabularia : sources écrites des mondes normands médiévaux,1951-2562,1630-7364,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4720
"Télémaque : philosophie, éducation, société",1263-588X,2118-2191,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1446
Transalpina,1278-334X,2534-5184,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9324
Journal of Interdisciplinary Methodologies and Issues in Science,,2430-3038,Mir@bel,https://reseau-mirabel.info/revue/titre-id/14756
Bretagne Linguistique,1270-2412,2727-9383,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10510
Culture & Musées,1766-2923,2111-4528,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1069
Annales mathématiques Blaise Pascal,1259-1734,2118-7436,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5759
K@iros : revue transdisciplinaire en sciences de l'information et de la communication et civilisations étrangères,,2492-1599,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3941
Revue du Centre Michel de l'Hospital,,2273-872X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9522
Siècles,1266-6726,2275-2129,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1719
Sociopoétiques,,2497-3610,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8820
Viatica,,2275-0827,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3937
Anthropologie & Santé,,2111-5028,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1731
Études créoles,0708-2398,2607-8988,Mir@bel,https://reseau-mirabel.info/revue/titre-id/12352
Travaux interdisciplinaires sur la parole et le langage,,2264-7082,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1918
"Ambiances : Environnement sensible, architecture et espace urbain",,2266-839X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2053
Bulletin du Centre d'études médiévales d'Auxerre,,1954-3093,Mir@bel,https://reseau-mirabel.info/revue/titre-id/638
Bulletin du Centre d'études médiévales d'Auxerre. Hors-série,,1961-8875,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4419
Crescentis : Revue internationale d'Histoire de la vigne et du vin,,2647-4840,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6953
Éclats. Revue des doctorantes et doctorants de l'école doctorale 592 LECLA,,2804-5866,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15219
Interfaces : Image - Texte - Language,1164-6225,2647-6754,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6952
Sciences humaines combinées : revue électronique des écoles doctorales ED LISIT et ED LETS,,1961-9936,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4417
Territoires du vin,,1760-5296,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4420
Textes & contextes,,1961-991X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2244
Bulletin des arrêts de la cour d'appel de Lyon,,2607-866X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/7507
Cahiers Jean Moulin,,2553-9221,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6135
Carnets du LARHRA,2260-7633,2648-1782,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6496
ELAD-SILDA : Études de Linguistique et d'Analyse des Discours – Studies in Linguistics and Discourse Analysis,,2609-6609,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6896
Lexis : Journal in English Lexicology,,1951-6215,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4545
Modernités russes,0292-0328,2725-2124,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10667
Nouveaux cahiers de Marge,,2607-4427,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6893
Pratiques & formes littéraires 16-18,,2534-7683,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10665
Revue internationale des francophonies,,2556-1944,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6215
"Itinéraires. Littérature, textes, cultures",2100-1340,2427-920X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3073
Recherches en éducation,,1954-3077,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3150
Strenae. Recherches sur les livres et les objets culturels de l'enfance,,2109-9081,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2035
Cahiers scientifiques du transport,1150-8809,2804-2107,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4526
Orientation scolaire et professionnelle,0249-6739,2104-3795,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1142
Savoirs en lien,,2968-0263,Mir@bel,https://reseau-mirabel.info/revue/titre-id/18946
Recherches anglaises et nord-américaines,0557-6989,3000-4411,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6237
Revue des sciences sociales,1623-6572,2107-0385,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4072
Chrétiens et sociétés XVIe-XXIe siècles,2267-7143,1965-0809,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2664
Annales de l'Institut Fourier,0373-0956,1777-5310,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5386
"Glad! : revue sur le langage, le genre, les sexualités",,2551-0819,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6154
MathematicS in action,,2102-5754,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6206
SMAI-JCM. The SMAI Journal of Computational Mathematics,,2426-8399,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8348
Sociologie du travail,0038-0296,1777-5701,Mir@bel,https://reseau-mirabel.info/revue/titre-id/316
Sources. Matériaux & terrains en études africaines,,2708-7034,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10421
International Review of Public Policy,2679-3873,2706-6274,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8326
