doi,WG1,WG2,WG3,year,type,source_title,issn,publisher_name,publisher_crossref_member,countries,countries_corr,publisher_oa,other_platform_oa,publisher_license,repository_license
10.1093/ACPROF:OSO/9780195172997.003.0005,FALSE,TRUE,FALSE,2006,book-chapter,Globalization and Health,,Oxford University Press (OUP),286,,,oa_journal_doaj,,cc_by,
10.5670/OCEANOG.2016.106,TRUE,FALSE,FALSE,2016,journal-article,Oceanography,,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2016.99,TRUE,FALSE,FALSE,2016,journal-article,Oceanography,,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.1097/MD.0000000000006765,FALSE,TRUE,FALSE,2017,journal-article,Medicine,0025-7974,Ovid Technologies (Wolters Kluwer Health),276,NG,NG,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1097/MD.0000000000002259,FALSE,TRUE,FALSE,2015,journal-article,Medicine,0025-7974,Ovid Technologies (Wolters Kluwer Health),276,JP,JP,oa_journal_doaj,accepted/published,cc_other,cc_other
10.15567/MLJEKARSTVO.2017.0203,FALSE,TRUE,FALSE,2017,journal-article,Mljekarstvo,0026-704X,Croatian Dairy Union,6245,"HR,SI",,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1590/S0034-8910.2013047004410,FALSE,TRUE,FALSE,2013,journal-article,Revista de Saúde Pública,0034-8910,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,submitted,cc_by,
10.20430/ETE.V83I332.231,TRUE,TRUE,FALSE,2016,journal-article,El Trimestre Económico,0041-3011,Fondo de Cultura Economica,9136,"MX,US",,oa_journal_doaj,submitted,cc_other,
10.1515/JOHH-2016-0036,FALSE,TRUE,FALSE,2016,journal-article,Journal of Hydrology and Hydromechanics,0042-790X,Walter de Gruyter GmbH,374,CZ,CZ,oa_journal_doaj,,cc_other,
10.2471/BLT.17.198358,FALSE,TRUE,FALSE,2017,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,CH,CH,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.10.010710,FALSE,TRUE,FALSE,2010,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,,,oa_journal_doaj,accepted/published,cc_by,
10.2471/BLT.15.167031,FALSE,TRUE,FALSE,2016,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"AU,US",AU,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.15.166199,FALSE,TRUE,FALSE,2015,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"FJ,CH",FJ,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2471/BLT.20.252882,FALSE,TRUE,FALSE,2020,journal-article,Bulletin of the World Health Organization,0042-9686,WHO Press,1305,"ID,CH,US",ID,oa_journal_doaj,accepted/published,cc_by,
10.1590/S0044-59672014000200005,FALSE,TRUE,FALSE,2014,journal-article,Acta Amazonica,0044-5967,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1590/S0044-59672014000200004,FALSE,TRUE,FALSE,2014,journal-article,Acta Amazonica,0044-5967,FapUNIFESP (SciELO),530,"VE,ES,IT",,oa_journal_doaj,submitted,cc_other,
10.1590/1809-4392201502225,FALSE,TRUE,FALSE,2016,journal-article,Acta Amazonica,0044-5967,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,accepted/published,cc_other,cc_by
10.1590/0074-0276108022013015,FALSE,TRUE,FALSE,2013,journal-article,Memórias do Instituto Oswaldo Cruz,0074-0276,FapUNIFESP (SciELO),530,VE,,oa_journal_doaj,accepted/published,cc_by,
10.5697/OC.56-2.167,TRUE,FALSE,FALSE,2014,journal-article,Oceanologia,0078-3234,Elsevier BV,78,"DE,SE",DE,oa_journal_doaj,submitted,cc_other,other
10.5697/OC.56-3.411,FALSE,TRUE,FALSE,2014,journal-article,Oceanologia,0078-3234,Elsevier BV,78,"EG,SE","EG,SE",oa_journal_doaj,submitted,cc_other,
10.1016/J.OCEANO.2019.01.003,TRUE,FALSE,FALSE,2019,journal-article,Oceanologia,0078-3234,Elsevier BV,78,FR,FR,oa_journal_doaj,accepted/published,cc_other,other
10.1016/J.OCEANO.2017.10.004,FALSE,TRUE,FALSE,2018,journal-article,Oceanologia,0078-3234,Elsevier BV,78,LT,LT,oa_journal_doaj,,cc_other,
10.1590/S0100-40422010000600005,TRUE,FALSE,FALSE,2010,journal-article,Química Nova,0100-4042,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,,cc_other,
10.1590/S0102-311X2002000400010,FALSE,TRUE,FALSE,2002,journal-article,Cadernos de Saúde Pública,0102-311X,FapUNIFESP (SciELO),530,BR,BR,oa_journal_doaj,,cc_by,
10.1590/S0102-311X2001000700022,FALSE,TRUE,FALSE,2001,journal-article,Cadernos de Saúde Pública,0102-311X,FapUNIFESP (SciELO),530,US,,oa_journal_doaj,submitted,cc_by,
10.1590/S0102-311X2010000400017,FALSE,TRUE,FALSE,2010,journal-article,Cadernos de Saúde Pública,0102-311X,FapUNIFESP (SciELO),530,BR,BR,oa_journal_doaj,accepted/published,cc_by,
10.1590/0102-778620130665,TRUE,FALSE,FALSE,2014,journal-article,Revista Brasileira de Meteorologia,0102-7786,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,submitted,cc_by,
10.1590/0102-778631231420150077,TRUE,TRUE,FALSE,2016,journal-article,Revista Brasileira de Meteorologia,0102-7786,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1590/1234-56781806-94790550101,FALSE,TRUE,FALSE,2017,journal-article,Revista de Economia e Sociologia Rural,0103-2003,FapUNIFESP (SciELO),530,BR,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2019.104973,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"GB,DE",GB,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2020.105889,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,CN,CN,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2019.105013,FALSE,FALSE,TRUE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"MX,US",MX,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2019.104907,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,JP,,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2020.105513,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"ES,US,IT","ES,US",oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.02.072,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"CH,GB,ES",CH,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.105966,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"GB,AU",GB,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2020.106170,FALSE,TRUE,FALSE,2021,journal-article,Environment International,0160-4120,Elsevier BV,78,ES,ES,oa_journal_doaj,accepted/published,cc_other,cc_by
10.1016/J.ENVINT.2019.04.025,TRUE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"CN,CZ,GB",CN,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2018.11.035,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"ZA,GB",ZA,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.105528,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"AU,KR",KR,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.05.061,TRUE,FALSE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"ES,IT,US,CH",ES,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.02.065,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,GB,GB,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.105507,FALSE,TRUE,TRUE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"JP,CN,KR",CN,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.105494,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"ES,IT,ZA,AU,FR","ES,IT",oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.106136,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,NZ,NZ,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2019.03.063,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"CN,US,GB",CN,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.105132,FALSE,FALSE,TRUE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,"ES,US,AU",ES,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2020.106127,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,KR,KR,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2021.106420,FALSE,TRUE,FALSE,2021,journal-article,Environment International,0160-4120,Elsevier BV,78,"DE,GB,SE,ES,NL,PL,BE","DE,GB",oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2019.02.004,FALSE,FALSE,TRUE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"GB,IN",GB,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2021.106530,FALSE,TRUE,FALSE,2021,journal-article,Environment International,0160-4120,Elsevier BV,78,"GB,DE",GB,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2019.105027,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"KR,GB,US,CA,AR,AU,CN,BR,CL,CO,CZ,EE,SE,FI",KR,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.05.026,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,US,US,oa_journal_doaj,,cc_other,
10.1016/J.ENVINT.2019.105181,FALSE,TRUE,FALSE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"GB,IE,US,AU","GB,IE",oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2019.105409,FALSE,TRUE,FALSE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,US,US,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1016/J.ENVINT.2021.106517,FALSE,TRUE,FALSE,2021,journal-article,Environment International,0160-4120,Elsevier BV,78,"ES,DK",ES,oa_journal_doaj,accepted/published,cc_by,
10.1016/J.ENVINT.2020.105661,FALSE,FALSE,TRUE,2020,journal-article,Environment International,0160-4120,Elsevier BV,78,ES,ES,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1016/J.ENVINT.2019.105162,FALSE,TRUE,TRUE,2019,journal-article,Environment International,0160-4120,Elsevier BV,78,"CN,AU",CN,oa_journal_doaj,,cc_by,
10.14350/RIG.42298,FALSE,TRUE,FALSE,2015,journal-article,Investigaciones Geográficas,0188-4611,"Instituto de Geografia, UNAM",5804,CO,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.4067/S0250-71612016000100011,FALSE,TRUE,FALSE,2016,journal-article,EURE (Santiago),0250-7161,Pontificia Universidad Catolica de Chile,4571,DE,,oa_journal_doaj,submitted,cc_by,
10.4067/S0250-71612016000300011,FALSE,TRUE,FALSE,2016,journal-article,EURE (Santiago),0250-7161,Pontificia Universidad Catolica de Chile,4571,DE,,oa_journal_doaj,accepted/published,cc_by,other
10.4103/0257-7941.111986,FALSE,TRUE,FALSE,2012,journal-article,Ancient Science of Life,0257-7941,Medknow,2581,IN,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1659/MRD-JOURNAL-D-15-00016.1,FALSE,TRUE,FALSE,2016,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,CH,,oa_journal_doaj,submitted,cc_by,cc_by
10.1659/MRD-JOURNAL-D-16-00093.1,FALSE,TRUE,FALSE,2017,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,"CH,EC,GB,US,DE,VE,FR,AR",,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1659/MRD-JOURNAL-D-17-00063.1,FALSE,TRUE,FALSE,2018,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,IN,,oa_journal_doaj,,cc_by,
10.1659/MRD-JOURNAL-D-17-00035.1,FALSE,TRUE,FALSE,2017,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,NO,NO,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1659/MRD-JOURNAL-D-19-00075.1,FALSE,TRUE,FALSE,2020,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,CH,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1659/MRD-JOURNAL-D-18-00062.1,FALSE,TRUE,FALSE,2019,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,FR,FR,oa_journal_doaj,,cc_by,
10.1659/MRD-JOURNAL-D-18-00077.1,FALSE,TRUE,FALSE,2019,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,FR,,oa_journal_doaj,submitted,cc_by,cc_by
10.1659/MRD-JOURNAL-D-19-00066.1,FALSE,TRUE,FALSE,2020,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,"EC,US,ID",,oa_journal_doaj,,cc_by,
10.1659/MRD-JOURNAL-D-17-00029.1,FALSE,TRUE,FALSE,2017,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,KG,KG,oa_journal_doaj,,cc_by,
10.1659/MRD-JOURNAL-D-12-00106.1,FALSE,TRUE,FALSE,2013,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,CH,CH,oa_journal_doaj,,cc_by,
10.1659/MRD-JOURNAL-D-20-00054.1,FALSE,TRUE,FALSE,2021,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,"GB,CH,KE,AR,BE,US",,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1659/MRD-JOURNAL-D-21-00033.1,FALSE,TRUE,FALSE,2021,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,"CA,CH,US,GB,DE,IN",,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1659/MRD-JOURNAL-D-16-00039.1,FALSE,TRUE,FALSE,2017,journal-article,Mountain Research and Development,0276-4741,International Mountain Society (IMS) and United Nations University,1235,US,,oa_journal_doaj,submitted,cc_by,cc_by
10.4103/0366-6999.226061,FALSE,TRUE,FALSE,2018,journal-article,Chinese Medical Journal,0366-6999,Ovid Technologies (Wolters Kluwer Health),276,JP,JP,oa_journal_doaj,accepted/published,cc_other,cc_other
10.4314/WSA.V43I1.11,FALSE,FALSE,TRUE,2017,journal-article,Water SA,0378-4738,Academy of Science of South Africa,6689,ZA,ZA,oa_journal_doaj,submitted,cc_by,
10.4314/WSA.V30I5.5188,TRUE,FALSE,FALSE,2007,journal-article,Water SA,0378-4738,Academy of Science of South Africa,6689,,,oa_journal_doaj,submitted,cc_by,
10.4314/WSA.V43I2.12,TRUE,TRUE,FALSE,2017,journal-article,Water SA,0378-4738,Academy of Science of South Africa,6689,ZA,,oa_journal_doaj,submitted,cc_by,cc_by
10.4314/WSA.V40I3.8,FALSE,TRUE,FALSE,2014,journal-article,Water SA,0378-4738,Academy of Science of South Africa,6689,ZA,,oa_journal_doaj,,cc_by,
10.1016/J.IATSSR.2016.01.002,FALSE,FALSE,TRUE,2016,journal-article,IATSS Research,0386-1112,Elsevier BV,78,JP,JP,oa_journal_doaj,,cc_other,
10.4202/APP.00474.2018,FALSE,TRUE,FALSE,2018,journal-article,Acta Palaeontologica Polonica,0567-7920,"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",2718,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.4202/APP.2010.0040,FALSE,TRUE,FALSE,2011,journal-article,Acta Palaeontologica Polonica,0567-7920,"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",2718,DE,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1186/S40693-016-0061-Y,FALSE,TRUE,FALSE,2016,journal-article,Revista Chilena de Historia Natural,0717-6317,Springer Science and Business Media LLC,297,"CL,US",CL,oa_journal_doaj,accepted/published,cc_by,cc_by
10.1186/S40693-018-0071-Z,FALSE,TRUE,FALSE,2018,journal-article,Revista Chilena de Historia Natural,0717-6317,Springer Science and Business Media LLC,297,CL,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.4067/S0717-65382020000100046,FALSE,TRUE,FALSE,2020,journal-article,Gayana (Concepción),0717-6538,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),2516,"CL,US",,oa_journal_doaj,,cc_other,
10.1127/METZ/2018/0912,TRUE,FALSE,FALSE,2019,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,DE,DE,oa_journal_doaj,accepted/published,cc_other,cc_by
10.1127/METZ/2017/0861,FALSE,TRUE,FALSE,2017,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,DE,DE,oa_journal_doaj,submitted,cc_other,
10.1127/METZ/2015/0587,TRUE,FALSE,FALSE,2016,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,"DE,BE",DE,oa_journal_doaj,,cc_other,
10.1127/METZ/2016/0670,TRUE,FALSE,FALSE,2016,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,submitted,cc_other,
10.1127/METZ/2017/0763,FALSE,FALSE,TRUE,2017,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,DE,,oa_journal_doaj,accepted/published,cc_other,
10.1127/METZ/2020/0989,TRUE,FALSE,FALSE,2020,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,,cc_other,
10.1127/METZ/2015/0715,TRUE,FALSE,FALSE,2016,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1127/METZ/2017/0824,TRUE,FALSE,FALSE,2017,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,,cc_other,
10.1127/METZ/2018/0872,TRUE,FALSE,FALSE,2018,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,,cc_other,
10.1127/METZ/2015/0530,FALSE,TRUE,FALSE,2015,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,,cc_other,
10.1127/METZ/2016/0775,TRUE,FALSE,FALSE,2017,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1127/METZ/2019/0878,TRUE,FALSE,FALSE,2019,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,,,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1127/METZ/2015/0641,TRUE,FALSE,FALSE,2016,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,"DE,GB",DE,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1127/METZ/2016/0773,TRUE,FALSE,FALSE,2018,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,"DE,FR",DE,oa_journal_doaj,accepted/published,cc_other,cc_other
10.1127/METZ/2014/0584,TRUE,FALSE,FALSE,2015,journal-article,Meteorologische Zeitschrift,0941-2948,Schweizerbart,181,"CH,DE",CH,oa_journal_doaj,accepted/published,cc_other,
10.2305/IUCN.CH.2017.PARKS-23-1RL.EN,FALSE,FALSE,TRUE,2017,journal-article,PARKS,0960-233X,IUCN,1096,,,oa_journal_doaj,,other,
10.2305/IUCN.CH.2016.PARKS-22-1JML.EN,FALSE,TRUE,FALSE,2016,journal-article,PARKS,0960-233X,IUCN,1096,,,oa_journal_doaj,,other,
10.2305/IUCN.CH.2021.PARKS-27-SIMNF.EN,FALSE,TRUE,FALSE,2021,journal-article,PARKS,0960-233X,IUCN,1096,"BR,RW,CO,ID,TZ,KE",BR,oa_journal_doaj,,other,
10.3319/TAO.2019.01.18.02,TRUE,FALSE,FALSE,2019,journal-article,"Terrestrial, Atmospheric and Oceanic Sciences",1017-0839,Springer Science and Business Media LLC,297,"TW,US",TW,oa_journal_doaj,submitted,cc_by,cc_by
10.5670/OCEANOG.2015.03,TRUE,FALSE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,US,oa_journal_doaj,,cc_by,
10.5670/OCEANOG.2018.216,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,US,oa_journal_doaj,submitted,cc_by,
10.5670/OCEANOG.2016.32,FALSE,TRUE,FALSE,2016,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2018.218,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2017.111,FALSE,TRUE,FALSE,2017,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"ES,US,GB,AU,SE,MY,NZ,IT,CN",,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2015.31,FALSE,TRUE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2018.213,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,submitted,cc_by,
10.5670/OCEANOG.2017.213,TRUE,FALSE,FALSE,2017,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2018.227,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,,oa_journal_doaj,submitted,cc_by,
10.5670/OCEANOG.2018.224,FALSE,TRUE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"US,PL",,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2014.16,TRUE,FALSE,FALSE,2014,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"BM,US,ES,IS",,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2018.201,FALSE,TRUE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,US,oa_journal_doaj,,cc_by,
10.5670/OCEANOG.2015.41,FALSE,TRUE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2013.07,TRUE,FALSE,FALSE,2013,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,submitted,cc_by,
10.5670/OCEANOG.2019.312,TRUE,FALSE,FALSE,2019,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2015.01,TRUE,FALSE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2015.36,TRUE,TRUE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2009.109,TRUE,FALSE,FALSE,2009,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"US,DE",,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2014.21,TRUE,FALSE,FALSE,2014,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2009.95,TRUE,FALSE,FALSE,2009,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2016.91,FALSE,TRUE,FALSE,2016,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2018.205,FALSE,TRUE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"AU,GB,IE,NZ,US",,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2018.210,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"FR,RU",,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2015.38,FALSE,TRUE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,,cc_by,
10.5670/OCEANOG.2015.37,TRUE,FALSE,FALSE,2015,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2009.98,TRUE,FALSE,FALSE,2009,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,submitted,cc_by,
10.5670/OCEANOG.2014.05,TRUE,FALSE,FALSE,2014,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,"CH,CA",,oa_journal_doaj,accepted/published,cc_by,
10.5670/OCEANOG.2018.109,TRUE,FALSE,FALSE,2018,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,US,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.5670/OCEANOG.2019.201,FALSE,TRUE,FALSE,2019,journal-article,Oceanography,1042-8275,The Oceanography Society,3658,,,oa_journal_doaj,accepted/published,cc_by,cc_by
10.2458/JPE.2289,FALSE,FALSE,TRUE,2021,journal-article,Journal of Political Ecology,1073-0451,University of Arizona,1290,NL,NL,oa_journal_doaj,,cc_by,
10.2458/V25I1.22704,FALSE,TRUE,FALSE,2018,journal-article,Journal of Political Ecology,1073-0451,University of Arizona,1290,"CA,GB",CA,oa_journal_doaj,,cc_by,
10.2458/V24I1.20974,FALSE,TRUE,FALSE,2017,journal-article,Journal of Political Ecology,1073-0451,University of Arizona,1290,SE,SE,oa_journal_doaj,submitted,cc_by,
10.2458/V22I1.21107,FALSE,TRUE,FALSE,2015,journal-article,Journal of Political Ecology,1073-0451,University of Arizona,1290,US,US,oa_journal_doaj,submitted,cc_by,cc_by
10.2458/V24I1.20969,FALSE,TRUE,FALSE,2017,journal-article,Journal of Political Ecology,1073-0451,University of Arizona,1290,AU,,oa_journal_doaj,submitted,cc_by,
10.5195/JWSR.2018.854,FALSE,FALSE,TRUE,2018,journal-article,Journal of World-Systems Research,1076-156X,"University Library System, University of Pittsburgh",3176,GB,GB,oa_journal_doaj,,cc_by,
10.5195/JWSR.2017.669,FALSE,FALSE,TRUE,2017,journal-article,Journal of World-Systems Research,1076-156X,"University Library System, University of Pittsburgh",3176,US,,oa_journal_doaj,submitted,cc_by,cc_by
