"Please go to the Journal URL, find out when the journal started publishing under an OA model, and add the date in column H.",,,,,,,,,
Journal title,Journal URL,eISSN,URL in DOAJ,pISSN,Publisher,Country,OA Start,Man. Ed,
LínguaTec,https://periodicos.ifrs.edu.br/index.php/LinguaTec/index,2525-3425,https://doaj.org/toc/1cbe3f10553a4a7c92180adce16ef6dc,,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS)",Brazil,2016,Alejandra,
Self,https://self.ijusp.org.br/self,2448-3060,https://doaj.org/toc/d7993fc516ab4a1e9b04bc12719bf7f4,,Instituto Junguiano de São Paulo,Brazil,2016,Alejandra,
Paubrasilia,https://periodicos.ufsb.edu.br/index.php/paubrasilia,2595-6752,https://doaj.org/toc/e051a49c1128448ba03965cadbfca38c,,Jardim Botânico FLORAS,Brazil,2018,Alejandra,
Demetra,https://www.e-publicacoes.uerj.br/index.php/demetra,2238-913X,https://doaj.org/toc/e8718384633b47d1ae37b90e25fcfba7,,Josely Correa Koury,Brazil,2012,Alejandra,
"Revista de Direito do Trabalho, Processo do Trabalho e Direito da Seguridade Social",https://revista.laborjuris.com.br/laborjuris,2674-6913,https://doaj.org/toc/91d2546ba4e44e63b08d7b04ca0d33c9,,Laborjuris Serviços Jurídicos em Educação,Brazil,2019,Alejandra,
Revista Educação e Políticas em Debate,http://www.seer.ufu.br/index.php/revistaeducaopoliticas/,2238-8346,https://doaj.org/toc/dc58e6e90e424ebc91e42714c80281f6,,Maria Vieira Silva,Brazil,2012,Alejandra,
Boletim do Museu Paraense Emílio Goeldi. Ciências Naturais,https://boletimcn.museu-goeldi.br/bcnaturais,2317-6237,https://doaj.org/toc/61023b9633824e30be54db0d958f1291,1981-8114,Museu Paraense Emílio Goeldi,Brazil,2006,Alejandra,
Pretextos,http://periodicos.pucminas.br/index.php/pretextos,2448-0738,https://doaj.org/toc/cd627ae4c588404a80bfa2effa726bb4,,Pontifícia Universidade Católica de Minas Gerais,Brazil,2016,Alejandra,
Teoria Jurídica Contemporânea,https://revistas.ufrj.br/index.php/rjur/index,2526-0464,https://doaj.org/toc/2dc62a5dfcd04352bcf0006618cb72a1,,Programa de Pós-Graduação em Direito da Universidade Federal do Rio de Janeiro,Brazil,2016,Alejandra,
Revista Informação na Sociedade Contemporânea,https://periodicos.ufrn.br/informacao/,2447-0198,https://doaj.org/toc/94b5aafddf514923802d2372768f30b2,,Programa de Pós-graduação em Gestão da Informação e do Conhecimento/Departamento de Ciência da Informação,Brazil,2014,Alejandra,
