code,term,journals,applications
HD4801-8943,Labor. Work. Working class,30,61
HD4861-4895,Labor systems,1,1
HD49-49.5,Crisis management. Emergency management. Inflation,5,11
HD5481-5630.7,Industrial arbitration. Meditation and conciliation,1,1
HD56-57.5,Industrial productivity,2,2
HD5650-5660,Employee participation in management. Employee ownership. Industrial democracy. Works councils,3,5
HD5701-6000.9,Labor market. Labor supply. Labor demand,6,11
HD58.7-58.95,"Organizational behaviour, change and effectiveness. Corporate culture",19,32
HD59-59.6,Public relations. Industrial publicity,8,13
HD60-60.5,Social responsibility of business,5,15
HD61,Risk in industry. Risk management,14,36
HD62,Standardization. Simplification. Waste,2,7
HD62.2-62.8,Management of special enterprises,8,19
HD6350-6940.7,Trade unions. Labor unions. Workers associations,1,2
HD66-66.2,Work groups. Team work in industry. Quality circles,1,2
HD69,Other,0,1
HD6951-6957,Industrial sociology. Social conditions of labor,2,3
HD6958.5-6976,Industrial relations,2,2
HD7088-7252,Social insurance. Social security. Pension,7,15
HD72-88,"Economic growth, development, planning",180,338
HD7255-7256,Vocational rehabilitation. Employment of people with disabilities,14,25
HD7260-7780.8,Industrial hygiene. Industrial welfare,9,14
HD7795-8027,Labor policy. Labor and the state,7,11
HD8031,Labor in politics. Political activity of the working class,3,9
HD8038,Professions (General). Professional employees,2,3
HD9000-9495,Agricultural industries,41,79
HD9000-9999,Special industries and trades,11,17
HD9502-9502.5,Energy industries. Energy policy. Fuel trade,41,104
HD9506-9624,Mineral industries. Metal trade,3,4
HD9650-9663,Chemical industries,3,5
HD9665-9675,Pharmaceutical industry,22,42
HD9680-9714,Mechanical industries,2,4
HD9715-9717.5,Construction industry,9,19
HD9720-9975,Manufacturing industries,4,8
HD9999,Miscellaneous industries and trades,1,2
HE1-9990,Transportation and communications,52,112
HE9713-9715,Cellular telephone services industry. Wireless telephone industry,3,6
HF1-6182,Commerce,326,295
HF1014,Balance of trade,1,2
HF1021-1027,Commercial geography. Economic geography,9,28
HF1701-2701,Tariff. Free trade. Protectionism,0,2
HF294-343,Boards of trade. Chambers of commerce. Merchants associations,0,2
HF5001-6182,Business,845,1404
HF5381-5386,Vocational guidance. Career development,12,22
HF5387-5387.5,Business ethics,6,20
HF5410-5417.5,Marketing. Distribution of products,67,127
HF5428-5429.6,Retail trade,0,2
HF5437-5444,Purchasing. Selling. Sales personnel. Sales executives,1,1
HF5460-5469.5,Department stores. Mail order business. Supermarkets. Convenience stores,0,1
HF5469.7-5481,Markets. Fairs,1,4
HF5482-5482.4,Secondhand trade,0,1
HF5546-5548.6,Office management,6,22
HF5548.7-5548.85,Industrial psychology,13,36
HF5549-5549.5,Personnel management. Employment management,39,72
HF5601-5689,Accounting. Bookkeeping,177,356
HF5691-5716,"Business mathematics. Commercial arithmetic. Including tables, etc.",8,15
HF5717-5734.7,"Business communication. Including business report writing, business correspondence",12,19
HF5735-5746,Business records management,16,55
HF5761-5780,Shipment of goods. Delivery of goods,5,18
HF5801-6182,Advertising,10,17
HG1-9999,Finance,349,655
HG1501-3550,Banking,35,60
HG8011-9999,Insurance,6,17
HJ2240-5908,Revenue. Taxation. Internal revenue,5,10
HJ4113-4601,Property tax,0,1
HM401-1281,Sociology (General),403,606
HN1-995,Social history and conditions. Social problems. Social reform,107,179
HQ1-2044,The family. Marriage. Woman,76,88
HQ1088-1090.7,Men,5,5
HQ1101-2030.7,Women. Feminism,91,108
HS1-3371,"Societies: secret, benevolent, etc.",12,15
HT101-395,Urban groups. The city. Urban sociology,73,144
HT161-165,Garden cities. The city beautiful,0,1
HT165.5-169.9,City planning,26,66
HT170-178,Urban renewal. Urban redevelopment,12,22
HT201-221,"City population. Including children in cities, immigration",15,28
HT231,Effect of city life,0,2
HT321-325,The city as an economic factor. City promotion,1,3
HT330-334,Metropolitan areas,1,2
HT351-352,Suburban cities and towns,1,3
HT361-384,Urbanization. City and country,21,50
HT388,Regional economics. Space in economics,40,88
HT390-395,Regional planning,20,43
HT51-1595,Communities. Classes. Races,68,103
HT51-65,Human settlements. Communities,22,50
HV1-9960,Social pathology. Social and public welfare. Criminology,165,206
HX1-970.7,Socialism. Communism. Anarchism,9,13
J,Political science,463,664
JA1-92,Political science (General),279,363
JC11-607,Political theory,48,65
JF20-2112,Political institutions and public administration (General),194,366
JQ1-6651,Political institutions and public administration - Asia (Asian studies only),26,55
JV1-9480,Colonies and colonization. Emigration and immigration. International migration,45,61
JZ2-6530,International relations,231,353
K,Law,702,1114
K1-7720,Law in general. Comparative and uniform law. Jurisprudence,514,638
K1000-1395,Commercial law,21,40
K201-487,Jurisprudence. Philosophy and theory of law,54,101
K3150,Public law,32,54
K3581-3598,Environmental law,14,36
K3601-3611,Medical legislation,8,13
K3840-4375,"Regulation of industry, trade, and commerce. Occupational law",8,17
K4011-4343,Transportation and communication,7,18
K4430-4675,Public finance,26,57
K5000-5582,Criminal law and procedure,64,103
K520-5582,Comparative law. International uniform law,52,61
K623-968,Civil law,22,44
K7000-7720,Private international law. Conflict of laws,23,33
K720-792,Property,2,4
K7585-7595,Social legislation,2,14
KBP1-4860,Islamic law,121,253
KJ-KKZ,Law of Europe,33,55
KJ2-1040,History of Law,13,24
KL-KWX,"Asia and Eurasia, Africa, Pacific Area, and Antarctica",5,6
KN,South Asia. Southeast Asia. East Asia,5,13
KZ2-6785,Law of nations,17,40
L,Education,1543,2455
L7-991,Education (General),1142,1897
LA5-2396,History of education,42,85
LB5-3640,Theory and practice of education,453,788
LC8-6691,Special aspects of education,836,1394
M,Music and books on Music,60,45
M1-5000,Music,121,166
ML1-3930,Literature on music,14,18
MT1-960,Musical instruction and study,24,36
Medicine,,0,1
N,Fine Arts,270,363
N1-9211,Visual arts,136,220
NA1-9428,Architecture,238,420
NA2695-2793,Architectural drawing and design,24,53
NA9000-9428,Aesthetics of cities. City planning and beautifying,42,77
NB1-1952,Sculpture,2,5
NC1-1940,Drawing. Design. Illustration,56,115
ND25-3416,Painting,1,3
NE1-3002,Print media,7,14
NE1-978,Printmaking and engraving,1,3
NE380,Conservation and restoration of prints,3,6
NK1-9990,Decorative arts,5,14
NX1-820,Arts in general,266,399
NX440-632,History of the arts,102,142
P,Language and Literature,1155,1444
P1-1091,Philology. Linguistics,721,867
P101-410,Language. Linguistic theory. Comparative grammar,154,309
P118-118.7,Language acquisition,18,37
P201-299,Comparative grammar,2,2
P301-301.5,Style. Composition. Rhetoric,7,14
P302-302.87,Discourse analysis,17,27
P306-310,Translating and interpreting,49,75
P325-325.5,Semantics,4,6
P327-327.5,Lexicography,4,13
P87-96,Communication. Mass media,471,798
P95-95.6,Oral communication. Speech,13,22
P98-98.5,Computational linguistics. Natural language processing,32,60
PA,Greek language and literature. Latin language and literature,36,54
PA201-899,Greek philology and language,6,12
PC1-5498,Romanic languages,79,116
PD1-7159,Germanic languages. Scandinavian languages,20,27
PD1501-7159,North Germanic. Scandinavian,3,4
PE1-3729,English language,126,261
PG1-9665,Slavic languages. Baltic languages. Albanian languages,58,83
PH1-5490,Ural-Altaic languages,3,5
PH501-1109,Other Finnic languages and dialects,1,1
PH91-98.5,Finnic. Baltic-Finnic,4,4
PJ,Oriental languages and literatures,45,67
PK1-9601,Indo-Iranian languages and literature,19,31
PL1-8844,"Languages and literature of Eastern Asia, Africa, Oceania",29,46
PL1001-3208,Chinese language and literature,8,17
PL501-889,Japanese language and literature,14,22
PL8000-8844,African languages and literature,16,27
PN1-6790,Literature (General),358,436
PN1560-1590,The performing arts. Show business,26,41
