ID,OA Start Date,In doaj?
e750089e1efe4d39891a8259d4120a39,2009,True
39837fcc443146b29211a0a399f64133,2004,True
399bf67b429c4e099b305aed4e80801f,1979,True
3a1298d22f5748c49c654c20f8c6586d,2008,True
38999b8fae384f72b1d878bbbe2a9df8,2003,True
39e278ffe8f945a399ec2b72f3ea74c8,2011,True
5375dbbc19854e4685fc43fc5d6cae9e,2010,True
529844ee33b0446a9585e9ce22aa92a5,2014,True
532a7d02a8d640ac9ee7d46f387937c8,1995,True
5335f6145667457a95b25049311a8a46,2012,True
51e6087c41394e17bd4d908ce02296ee,2009,True
520701bfce8e4decad6703406d72c143,2011,True
5194c78d3cca4719a5fdc34489561df0,2016,True
52d17453503849c586d6c751cece28ef,2015,True
5c35911aa35c46ce8cd1ca642309c457,2006,True
5c383a80e4184eb283c752c25452167b,2014,True
5d043c1621ef453194a346eabe806e49,2011,False
5b473c36879b4093a197fcbf2312ff9d,2004,True
5b50a11099c548d795b9092894cbbce7,2000,True
5cd790692e9140269502c262075e80d9,2015,True
5cfa4fdc19bd4de49c1ad586679dfe3a,2016,True
5c85092b7f8c41e4bf68ed2b3cdef5ac,2012,True
5c3f83333be44f25bc12fc1a7c0dde64,2016,True
5b9db91c408349cb85ba4e6681c9081d,2017,True
705efb3ef8ea4983b073a319ff8db9dc,2013,True
7062e80e367847019ad9c389034fd11a,2007,True
70a023b102bb4b90b4413ac3ccd7a6b5,2015,True
703d6a6bf90b4133ba309a1b81041afd,2013,True
71e15ae263a84fa3a35e27a77cc1e1f3,2012,True
708054faeb384682988be2bbe71d4056,2013,False
71cd21271d8e43dcadc020dc0be2cd92,2010,True
85ae30d28c064b4f9611ecec6edd27e6,2011,True
85b17826b379421696afe6aa6165aa0e,2012,True
85b889f1e21244fa9c1affbf0f750ac5,2014,True
85c8832161954cf59cca4703af1a3732,2008,True
878c52e6a7f24753955f1f41c5a25f49,2008,True
87a9832d424340c78268b043bfd21f3c,2017,True
86b9378e77454a57b30fd86b0d2726a2,2009,True
86bd6d57c8b5409684651f77599f0e26,2016,True
864e8aecac8649cfa7b925c0c1b37e27,2015,True
8652b670627f4ba4b36ea2fd6f50cfdf,2011,True
877c39c6f3684e20a2aee225c02fa604,2017,True
97526c37273c47c8bf5224e09449fdaa,2007,True
959dadadb54547779671cf962f29abb2,2016,True
95a63c4a203b45f6a2833f07826c46e5,2002,True
95d27f2b7a0141dca0df289c3b14103f,2016,True
961df69941944c9a9f035ecf2cb36212,2016,True
964d76489be5472089f5cab30b5ca492,2010,True
95dd6c51cf544b2b8ad8ca3fe466ce38,2017,True
95ed32dcc9264f91a318f364f193a787,2015,True
972d0c18e9f5498599597017abd06ab3,2013,True
97855aa4060446c094b2d39bc60ead44,2011,True
96ba76d0b7894bffac5652f0ef141021,2017,True
96c72d348e5041fdbbdbbf1edeef359a,2008,True
96a1b3d4904b4ad48f9ebfab83788385,2011,True
afdec715f6444a9c8672bdf728bee295,2008,True
b007cc9718494018a6fbf93e481cad22,1984,True
b00dd2e1cba9483c9bf53f7103ac3a24,2008,True
b0f850f49d8c46eb933a2b20c34cca48,2011,True
b127eed1aea54c68aa36cfa32fb7c250,2013,True
af782febca134ba6ac14e9fbd6981e56,2012,True
af8e2cd0d2e94fba997a416d65b8a965,2017,True
afa8458d5cdd44d389a9297812b33313,2010,True
b0d9094e57c540c196d555e391612a04,2014,True
b05400e92c2e4c1e9fa7e927b5130da3,2009,True
b0f54e09a64143f29696d7aa23b7dfaa,2011,False
afd652b380e247e0a50ddfc94e441c37,2005,True
c3138390f5ab4454a47a9ddfdf2f4796,2015,True
c1e5752f1dbf48b5b3742fc3de43d9db,2006,True
c2474565e76948d68ff3b15e82efe20f,2008,True
c24d762b649f474ba5a5f16a4fa33e30,2010,True
c2ef2396538a464fbc1b859c1bae55db,2001,True
c08c46a67afd4a3bb09165920a5bd0e3,2009,True
c29d6098ce474fe4b0517eff8e93346b,2015,True
c2c3eba89c54410e88a5854b5c030ffc,2012,True
079d6dcf09a14264bcda9a780de1a889,2006,True
07a5e319241f4bb99effae7dc08cd759,2017,True
07bde01f8c6242ef912e88d61cc46cba,2017,True
07ce5e11970549dfa240af9b64fdd094,2012,True
07cfe74029504d7591c33a0e8e4dd6c4,2012,True
077d472fe29048b58564b5ae9592be8a,2014,True
077dec02bfc44e2ba88b04cf8d20801f,2003,True
07873cc5dab7476cbed0fbf04d11cdfe,2000,True
079334c7af3c419bb01cf98e2c58b888,2015,True
0898ee75e56d4611a08dcd6de07aa846,2013,True
086ec7a2d1cc44a1855c8810606899bd,2007,True
087d1849287c45668ce7e182af2f07a9,2015,True
0892f4f46cd149e589ff1fe8b8e191aa,2013,True
080c17479d10458f87764d0cac68e053,2011,False
091c3c1e16fb48a484fb234ef0ca1d1d,2009,True
07557e0fcc92458494f83da10f27d5dd,2010,True
07677d3987284276b614b2521380e968,2013,True
2a23104904a4441fadadac0ec2d83145,2012,False
2a2345cfac074fc2ae0898b8799c6de1,2013,True
28e5f4a04f3a4ec4b33354a16a192da2,2015,True
280cdb04f79c4e9f9faf8766fb4c7925,2015,True
28156793bf704ba5a94675214717c76e,2015,True
2953f003dad54f4fb1fb85acfe413a1d,2011,True
29b70321181e4106bb7a139c05e0d711,2009,True
28661c27391449a68d6f959e51e00a41,2016,True
298be84df9824af492a5f969e4ee353f,2005,True
3c935bd36ef8490cab9da8e9724614f1,1963,True
3cb040707672401ab5b8ad0f61845dca,2015,True
3b7bcd3a68ec4feb8c16d9a1009444cf,2015,True
3b83ed307076445bafbe12257afc7c45,2014,True
3bf4319f6cc448c09d622a506e1e065a,2010,True
3b3063a1de9749dfb2a3e4f3712d77bb,2013,True
3c73416ce24148b7a1992b7de17554e9,2015,True
3adff03de5674551b1402c2d9c038146,2011,True
3bdc6d33b8c947e9bb4150814cd5287f,2014,False
3c3d11a53efc4ac69396e71b536715cc,2007,True
473acfc0715048b2ad61b51cf08491fd,2013,True
47457eb1e7134316985773b47fa6ab15,2014,True
470371d54b65452db7734e5b9bc962a9,2013,True
485d2f4bc4614e9c8ba92b85866a061f,2012,True
4898703206c644ad9f7cf9ff7f78c14d,1997,True
47d8aca79ec44aefad2f7b7e20ee01db,2003,True
57cf6ed513b647efaf9908d5b4d90d6a,1976,True
