Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Publisher,Country of publisher
"Journal of Sustainable Development of Energy, Water and Environment Systems",http://www.sdewes.org/jsdewes,https://doaj.org/toc/80172af181b14369bc27f8c3e7d1ba76,1848-9257,,SDEWES Centre,Croatia
Rince,https://rince.unlam.edu.ar/index.php,https://doaj.org/toc/a6e5eafe9f9549cd806cdcbdf74a0140,1851-3239,,Universidad Nacional de La Matanza,Argentina
Revista Argentina de Ciencias del Comportamiento,http://revistas.unc.edu.ar/index.php/racc,https://doaj.org/toc/23c005ca6c064d7d81c03d832015a518,1852-4206,,Universidad Nacional de Córdoba,Argentina
Anuario de la Escuela de Historia Virtual,http://revistas.unc.edu.ar/index.php/anuariohistoria,https://doaj.org/toc/b144f2e76aec451f8a38a97e69e7a800,1853-7049,,Universidad Nacional de Córdoba,Argentina
Corpus: Archivos Virtuales de la Alteridad Americana,http://corpusarchivos.revues.org/,https://doaj.org/toc/5836f1675b574354841a499a594e44ec,1853-8037,,"Centro Científico y Tecnológico-CONICET, Mendoza & Universidad Nacional de La Pampa",Argentina
Scripta Manent,http://scriptamanent.sdutsj.edus.si/,https://doaj.org/toc/618f24300a5042dd9dd1c7d5216d3c11,1854-2042,,Slovensko društvo učiteljev tujega strokovnega jezika (SDUTSJ),Slovenia
Avances en Química,http://www.saber.ula.ve/avancesenquimica,https://doaj.org/toc/49e8f6e0c09c41c7ba6f4444e993004d,1856-5301,,Universidad de Los Andes,"Venezuela, Bolivarian Republic of"
Libreas : Library Ideas,http://www.libreas.eu,https://doaj.org/toc/8e485490d3aa4e9290c24751c63833b5,1860-7950,,Institut für Bibliothekswissenschaft Berlin,Germany
Theologie.Geschichte : Zeitschrift für Theologie und Kulturgeschichte,http://universaar.uni-saarland.de/journals/index.php/tg,https://doaj.org/toc/5546b72ad314438080bd902e3b4e244b,1862-1678,,Saarland University,Germany
Zeitschrift für Junge Religionswissenschaft,http://zjr.revues.org/,https://doaj.org/toc/f51ab53d9e184d618bd79e3516944f36,1862-5886,,Zeitschrift für junge Religionswissenschaft,Germany
Electronic Communications of the EASST,http://journal.ub.tu-berlin.de/index.php/eceasst/index,https://doaj.org/toc/d3c8c2e484b54b0db34ce5c2a078a4d1,1863-2122,,"Technische Universität Berlin, Universitätsbibliothek",Germany
Landscape Online,https://www.landscape-online.org/,https://doaj.org/toc/76299556d98f41abb626c40bc542bd1b,1865-1542,,"International Association for Landscape Ecology, Chapter Germany",Germany
Behemoth : a Journal on Civilisation,http://www.behemoth-journal.de/,https://doaj.org/toc/35abc953ec2f44449b9251bb8f26d224,1866-2447,,Universität Freiburg,Germany
Göttingen Journal of International Law,http://www.gojil.eu,https://doaj.org/toc/a7d5553658ff47909cfd996243e0106d,1868-1581,,Goettingen Journal of International Law e.V.,Germany
Tropical and Subtropical Agroecosystems,http://www.revista.ccba.uady.mx/ojs/index.php/TSA/index,https://doaj.org/toc/96f69249516f4f96961ae97ef119dc35,1870-0462,,Universidad Autónoma de Yucatán,Mexico
CPU-e,http://cpue.uv.mx,https://doaj.org/toc/0960bf66422045b3b5fe393809a00d93,1870-5308,,Universidad Veracruzana,Mexico
marcoELE. Revista de Didáctica Español Lengua Extranjera,https://marcoele.com/,https://doaj.org/toc/78b61528d5944cd2a62193ffe22e3d2b,1885-2211,,marcoELE,Spain
TOG : Revista de Terapia Ocupacional de la APGTO,http://www.revistatog.com,https://doaj.org/toc/88893e98687b4966aa476ae3ed51097e,1885-527X,,Asociación Profesional Gallega de Terapeutas Ocupacionales (APGTO),Spain
Revista de Estudios Internacionales Mediterráneos,https://revistas.uam.es/index.php/reim/index,https://doaj.org/toc/af837396cee94c649441c9d98c3122b7,1887-4460,,Universidad Autónoma de Madrid,Spain
Advances in Cognitive Psychology,http://www.ac-psych.org/,https://doaj.org/toc/08049fe2793049efa8fc932bc0ec08d3,1895-1171,,University of Economics and Human Sciences in Warsaw,Poland
Comparative Cognition & Behavior Reviews,http://comparative-cognition-and-behavior-reviews.org/,https://doaj.org/toc/0c6786cfe3ce4b729b1c111e49bb9900,1911-4745,,Comparative Cognition Society,Canada
Tutorials in Quantitative Methods for Psychology,http://www.tqmp.org/,https://doaj.org/toc/4fb57e34795c4e539df4a6ff94199cbe,1913-4126,,Université d'Ottawa,Canada
Phenomenology & Practice,https://ejournals.library.ualberta.ca/index.php/pandpr,https://doaj.org/toc/f18233b52b0646e3aa3301d783a81213,1913-4711,,University of Alberta,Canada
MediaTropes,http://www.mediatropes.com,https://doaj.org/toc/8a4cc8ec78724ecdba18cc214e5baa53,1913-6005,,University of Toronto Libraries,Canada
Journal of Unschooling and Alternative Learning,http://jual.nipissingu.ca,https://doaj.org/toc/b5955360535f4851bf2eaf2a3885d3da,1916-8128,,Nipissing University,Canada
Aporia,https://uottawa.scholarsportal.info/ottawa/index.php/aporia/index,https://doaj.org/toc/96d0b7b3d3d544cd8cbe3cdaaf223910,1918-1345,,University of Ottawa,Canada
Journal of Computational Geometry,http://jocg.org/,https://doaj.org/toc/2b78eaa064c3452d9cbe6be1251e19aa,1920-180X,,Carleton University,Canada
BioéthiqueOnline,http://cjb-rcb.ca/,https://doaj.org/toc/06f7d8c9a11442e28fe479e941f3f87b,1923-2799,,BioéthiqueOnline,Canada
Journal of Applied Hermeneutics,https://journalhosting.ucalgary.ca/index.php/jah/index,https://doaj.org/toc/15141073971746a0be6a3b28f2c6335e,1927-4416,,University of Calgary,Canada
Canadian Journal of Disability Studies,http://cjds.uwaterloo.ca/index.php/cjds,https://doaj.org/toc/d50bd557481546629dd7fd1b14a2c5a0,1929-9192,,University of Waterloo,Canada
Journal for Learning through the Arts,http://escholarship.org/uc/class_lta,https://doaj.org/toc/e241c806446c40e98f4f004fe338450d,1932-7528,,"eScholarship Publishing, University of California",United States
Communications in Information Literacy,https://pdxscholar.library.pdx.edu/comminfolit/,https://doaj.org/toc/98fb7fe97d6d4bfcb0c9231678f25bfa,1933-5954,,Communications in Information Literacy,United States
Impulse: The Premier Undergraduate Neuroscience Journal,http://impulse.appstate.edu/,https://doaj.org/toc/f5756ba777134ced91615907a0e3947d,1934-3361,,Appalachian State University Honors College,United States
Semantics and Pragmatics,http://semprag.org,https://doaj.org/toc/7f43891d55a34b50af63fd43d82e78a7,1937-8912,,Linguistic Society of America,United States
Journal of Environmental Statistics,http://www.jenvstat.org,https://doaj.org/toc/85493fcd28d4430fafb4ec476e8ba5cc,1945-1296,,UCLA Statistics,United States
Cahiers de Civilisation Espagnole Contemporaine,http://ccec.revues.org,https://doaj.org/toc/56b79df03e724ffa8b893660ba8a8f5f,1957-7761,,Centre de Recherches Ibériques et Ibéro-Américaines,France
Bulletin du Centre de Recherche du Château de Versailles,http://crcv.revues.org/,https://doaj.org/toc/a6107842e7a84ccca9320f0b79632c91,1958-9271,,Centre de Recherche du Château de Versailles,France
Knowledge and Management of Aquatic Ecosystems,http://www.kmae-journal.org/,https://doaj.org/toc/6e3c294f9e7d4088b24003eab1258f9a,1961-9502,,EDP Sciences,France
Trivium,http://trivium.revues.org/,https://doaj.org/toc/4778b4dcd03143c69ea064da38ac0fcf,1963-1820,,Fondation Maison des Sciences de l'Homme,France
"Rivista di Criminologia, Vittimologia e Sicurezza",http://www.vittimologia.it/rivista/,https://doaj.org/toc/44ebb3e832c9442088260073359c6490,1971-033X,,Società Italiana di Vittimologia,Italy
"Stato, Chiese e Pluralismo Confessionale",http://riviste.unimi.it/index.php/statoechiese,https://doaj.org/toc/60dd972eeff943988fe54b8931a6e4d1,1971-8543,,Università degli Studi di Milano,Italy
European Journal of Legal Studies,https://ejls.eui.eu,https://doaj.org/toc/ea49a92e1cea4008a7f5f24bda4c43b9,1973-2937,,European University Institute,Italy
lo Squaderno,http://www.losquaderno.net,https://doaj.org/toc/901dea9e38704b17825d33ec6a97f77c,1973-9141,,professionaldreamers,Italy
Lecturae Tropatorum,http://www.lt.unina.it/,https://doaj.org/toc/703d5a6f09184b4f83f9e49fa737c618,1974-4374,,Università di Napoli Federico II,Italy
Bulletin of Chemical Reaction Engineering & Catalysis,http://ejournal2.undip.ac.id/index.php/bcrec,https://doaj.org/toc/cf7b89cb62724e7986e12e8c2904b550,1978-2993,,Diponegoro University,Indonesia
Hygeia : Revista Brasileira de Geografia Médica e da Saúde,http://www.seer.ufu.br/index.php/hygeia/index,https://doaj.org/toc/1067de8c6fc74ca78b5f4a61ca7f3fe3,1980-1726,,Universidade Federal de Uberlândia,Brazil
