Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Publisher,Country of publisher
Vestiges: Traces of Record,https://www.vestiges-journal.info/,https://doaj.org/toc/eb6d69678b844345b4a1cf448e9c5aa5,2058-1963,,"ISCA, University of Oxford",United Kingdom
Kaleidoscope History,http://www.kaleidoscopehistory.hu/,https://doaj.org/toc/1e40c38495aa4aabaa79c11d68251fb4,2062-2597,,Semmelweis University,Hungary
Oeconomics of Knowledge,https://sites.google.com/site/oeconomicsofknowledge/home,https://doaj.org/toc/ce4a55861e914edbab167f926d92b43d,2066-8325,,Saphira Publishing,Romania
"Meta: Research in Hermeneutics, Phenomenology and Practical Philosophy",http://www.metajournal.org/,https://doaj.org/toc/eeb296ae34d94dcf8826040e7a941cef,2067-3655,,Alexandru Ioan Cuza University of Iasi,Romania
Acta Technica Corviniensis,http://acta.fih.upt.ro/,https://doaj.org/toc/90075089a5d0440380af006c3512e45b,2067-3809,,University Politehnica Timisoara,Romania
Journal of Comparative Research in Anthropology and Sociology,http://compaso.eu/,https://doaj.org/toc/84e013bf455b4f22babb92964cb7e1e9,2068-0317,,University of Bucharest,Romania
Remote Sensing,http://www.mdpi.com/journal/remotesensing/,https://doaj.org/toc/486dc6d5d5dc490c9e7bc614e94a22cd,2072-4292,,MDPI AG,Switzerland
Magnetic Resonance in Solids,http://mrsej.kpfu.ru,https://doaj.org/toc/ef4d40895cb54e0d99e91cacb8aa420e,2072-5981,,Kazan Federal University,Russian Federation
Toxins,http://www.mdpi.com/journal/toxins/,https://doaj.org/toc/f056f0d9a3594cec869f8793e809bff2,2072-6651,,MDPI AG,Switzerland
Cancers,https://www.mdpi.com/journal/cancers/,https://doaj.org/toc/d7b0a627ea014406bb828cfa07ddaaa0,2072-6694,,MDPI AG,Switzerland
Computers,http://www.mdpi.com/journal/computers,https://doaj.org/toc/17030db991194c179aded8835915914a,2073-431X,,MDPI AG,Switzerland
Games,http://www.mdpi.com/journal/games/,https://doaj.org/toc/93113f83795f4a9b9e8a77015d969c58,2073-4336,,MDPI AG,Switzerland
Catalysts,https://www.mdpi.com/journal/catalysts,https://doaj.org/toc/1154cd82c51749a9a950bb5fe589f63c,2073-4344,,MDPI AG,Switzerland
Crystals,http://www.mdpi.com/journal/crystals/,https://doaj.org/toc/f1cac1b8fb6941e0b7663f1bb1ded7d0,2073-4352,,MDPI AG,Switzerland
Genes,http://www.mdpi.com/journal/genes/,https://doaj.org/toc/5fc51a87ea6f48bb88c8d41123a972da,2073-4425,,MDPI AG,Switzerland
Water,http://www.mdpi.com/journal/water/,https://doaj.org/toc/2fccd90dd9bc4b9b8c9ec57b3e9ff2bf,2073-4441,,MDPI AG,Switzerland
Symmetry,http://www.mdpi.com/journal/symmetry/,https://doaj.org/toc/c155a25014ab4e26a46c229e78dc70bf,2073-8994,,MDPI AG,Switzerland
Axioms,http://www.mdpi.com/journal/axioms,https://doaj.org/toc/d40cde664ac6471e9993beabbe7f9fd0,2075-1680,,MDPI AG,Switzerland
Machines,http://www.mdpi.com/journal/machines,https://doaj.org/toc/dbe160ed540f40ed85e362bbd80a1f91,2075-1702,,MDPI AG,Switzerland
Life,http://www.mdpi.com/journal/life,https://doaj.org/toc/411d86cbbac149b6882e5fa29b4f52c1,2075-1729,,MDPI AG,Switzerland
Diagnostics,http://www.mdpi.com/journal/diagnostics,https://doaj.org/toc/1fa659623dc84129bc33f33ba0620a62,2075-4418,,MDPI AG,Switzerland
Journal of Personalized Medicine,http://www.mdpi.com/journal/jpm,https://doaj.org/toc/f78158a4a4e545e484218e612fdf6a6f,2075-4426,,MDPI AG,Switzerland
Galaxies,http://www.mdpi.com/journal/galaxies,https://doaj.org/toc/62fd76e63f5a413da05d2f665c70c7c2,2075-4434,,MDPI AG,Switzerland
Lubricants,http://www.mdpi.com/journal/lubricants,https://doaj.org/toc/b488bc6f74964faf8a1ce70c3cc867d4,2075-4442,,MDPI AG,Switzerland
Insects,http://www.mdpi.com/journal/insects/,https://doaj.org/toc/282352dcacb349df8383155d6b209d63,2075-4450,,MDPI AG,Switzerland
Sports,http://www.mdpi.com/journal/sports,https://doaj.org/toc/58fb5ffb8389421697fa196ce6451522,2075-4663,,MDPI AG,Switzerland
Societies,http://www.mdpi.com/journal/societies,https://doaj.org/toc/d21f9b40b7b545c7926b96a59ce2c1bc,2075-4698,,MDPI AG,Switzerland
Metals,http://www.mdpi.com/journal/metals,https://doaj.org/toc/d0f04cc986514a80a837fa36b22912a6,2075-4701,,MDPI AG,Switzerland
Laws,http://www.mdpi.com/journal/laws,https://doaj.org/toc/eb5299b7953c47aab51d85e9d740b051,2075-471X,,MDPI AG,Switzerland
Buildings,https://www.mdpi.com/journal/buildings,https://doaj.org/toc/4e7e5912307d4fc987ff250e088b2d63,2075-5309,,MDPI AG,Switzerland
JeDEM - eJournal of eDemocracy & Open Government,http://www.jedem.org,https://doaj.org/toc/aa2ffb7e0e9344279d965e9e9ddc49ae,2075-9517,,Danube-University Krems,Austria
Arts,http://www.mdpi.com/journal/arts,https://doaj.org/toc/5af2799164ba4966bf98879e688336e3,2076-0752,,MDPI AG,Switzerland
Social Sciences,http://www.mdpi.com/journal/socsci,https://doaj.org/toc/1966b4fb23644bb3908463325918c793,2076-0760,,MDPI AG,Switzerland
Humanities,http://www.mdpi.com/journal/humanities,https://doaj.org/toc/7b70239a4c234c3b99489974dd8a534a,2076-0787,,MDPI AG,Switzerland
Pathogens,http://www.mdpi.com/journal/pathogens,https://doaj.org/toc/775f8585b7f94f1799f36b860f2a594c,2076-0817,,MDPI AG,Switzerland
Microorganisms,http://www.mdpi.com/journal/microorganisms,https://doaj.org/toc/f078d0dd27304b0094c900053ec5dedf,2076-2607,,MDPI AG,Switzerland
Geosciences,https://www.mdpi.com/journal/geosciences,https://doaj.org/toc/a8dbecea9bb1473ca4ba7ff0531b45e9,2076-3263,,MDPI AG,Switzerland
Behavioral Sciences,http://www.mdpi.com/journal/behavsci,https://doaj.org/toc/1b7f8cd4cc2e42079ff57ab018a25e01,2076-328X,,MDPI AG,Switzerland
Environments,http://www.mdpi.com/journal/environments,https://doaj.org/toc/8173a1139fe24f3a8d8c501c9d41f15a,2076-3298,,MDPI AG,Switzerland
Applied Sciences,http://www.mdpi.com/journal/applsci,https://doaj.org/toc/06b1b003af9c4e6e9323930c4fd7279a,2076-3417,,MDPI AG,Switzerland
Vaccines,http://www.mdpi.com/journal/vaccines,https://doaj.org/toc/b27e1d8088094dbcb581e909b85763fe,2076-393X,,MDPI AG,Switzerland
Інформаційні технології і засоби навчання,http://journal.iitta.gov.ua,https://doaj.org/toc/5f0909800cfa4f74828be1996f2f7989,2076-8184,,Institute of Information Technologies and Learning Tools,Ukraine
Membranes,http://www.mdpi.com/journal/membranes/,https://doaj.org/toc/962d34f6747741fcabf91f5f18feada5,2077-0375,,MDPI AG,Switzerland
Journal of Functional Biomaterials,http://www.mdpi.com/journal/jfb/,https://doaj.org/toc/b719f58f9d664e88bc3c3cde7166eac9,2079-4983,,MDPI AG,Switzerland
Nanomaterials,http://www.mdpi.com/journal/nanomaterials,https://doaj.org/toc/f424a066273c4eb595daa9a28e63494a,2079-4991,,MDPI AG,Switzerland
Biosensors,http://www.mdpi.com/journal/biosensors,https://doaj.org/toc/0232968a2a8f46c7b75e2099e4bb84dd,2079-6374,,MDPI AG,Switzerland
Coatings,http://www.mdpi.com/journal/coatings,https://doaj.org/toc/f7e10d4f21a04a7789d708a54e60fe08,2079-6412,,MDPI AG,Switzerland
Fibers,http://www.mdpi.com/journal/fibers/,https://doaj.org/toc/2b557b5e096e4f3bbc319b3796935c91,2079-6439,,MDPI AG,Switzerland
Biology,https://www.mdpi.com/journal/biology,https://doaj.org/toc/93cf27896c3a488da81e6bec427ea28e,2079-7737,,MDPI AG,Switzerland
Systems,http://www.mdpi.com/journal/systems,https://doaj.org/toc/32394b6f6b5b4edd881900684ab8a99f,2079-8954,,MDPI AG,Switzerland
Journal of Low Power Electronics and Applications,http://www.mdpi.com/journal/jlpea,https://doaj.org/toc/1897df80d06e438c8935bcee39c0b469,2079-9268,,MDPI AG,Switzerland
Resources,http://www.mdpi.com/journal/resources,https://doaj.org/toc/e168f5d5d6044ce9ba2fdc2fd9a4c9fa,2079-9276,,MDPI AG,Switzerland
Praktyka Teoretyczna,http://www.praktykateoretyczna.pl,https://doaj.org/toc/24b00bb455464d6fa3121dc93f325aaf,2081-8130,,Adam Mickiewicz University,Poland
Contemporary Economy,https://czasopisma.bg.ug.edu.pl/index.php/wg/issue/archive,https://doaj.org/toc/e1dfc0ee8728423992ffc1bb2bd09b8a,2082-677X,,University of Gdansk,Poland
"Wroclaw Review of Law, Administration and Economics",https://sciendo.com/journal/WRLAE,https://doaj.org/toc/8a97e45466954120bcd7425654fc3748,2084-1264,,Sciendo,Poland
Journal of Biology and Earth Sciences,http://www.journals.tmkarpinski.com/index.php/jbes,https://doaj.org/toc/150cfdb8a9f84b6da4b64d8dd61f3130,2084-3577,,"TMKarpinski Publisher, Tomasz M. Karpiński",Poland
Anthropologie & Santé,http://anthropologiesante.revues.org/,https://doaj.org/toc/a0d633dd3a4c40ed9b7ac234210cde16,2111-5028,,Association Anthropologie Médicale Appliquée au Développement et à la Santé,France
Ateliers d'Anthropologie,http://ateliers.revues.org/,https://doaj.org/toc/d78a159d06dd42c0b1305f5b51bbe934,2117-3869,,Laboratoire d'Ethnologie et de Sociologie Comparative,France
European Journal of Taxonomy,http://www.europeanjournaloftaxonomy.eu/index.php/ejt,https://doaj.org/toc/3ce203188e98448cbc18e51b320860c1,2118-9773,,Consortium of European Natural History Museums,France
Advanced Electromagnetics,http://aemjournal.org,https://doaj.org/toc/d811c008b5f241f1aa2fcd66d4fc6d73,2119-0275,,Advanced Electromagnetics,France
HISTOReLo: Revista de Historia Regional y Local,http://www.revistas.unal.edu.co/index.php/historelo,https://doaj.org/toc/b404f727bddc4b53a616289d4d0c6da4,2145-132X,,Universidad Nacional de Colombia,Colombia
International Journal of Economics and Financial Issues,http://www.econjournals.com/index.php/ijefi,https://doaj.org/toc/66064fb5c6964571ae303d4467ad1d77,2146-4138,,EconJournals,Turkey
International Review of Management and Marketing,https://econjournals.com/index.php/irmm,https://doaj.org/toc/e01c3a471fc54c94945a0d47d91ecf23,2146-4405,,EconJournals,Turkey
Archives of Clinical and Experimental Surgery,http://www.ejmaces.com/,https://doaj.org/toc/09e37501b531434783708daec2c3cd28,2146-8133,,GESDAV,Turkey
Sanat Eğitimi Dergisi,http://www.sanategitimidergisi.com,https://doaj.org/toc/45b5826308474f1a860e5f8a5639fd81,2147-8007,,Sada Institute of Art and Language Studies,Turkey
"Case Studies in Business, Industry and Government Statistics",http://publications-sfds.fr/index.php/csbigs,https://doaj.org/toc/21229c75e46644069e325e2f8da2bbf0,2152-372X,,Societe Francaise de Statistique,France
International Journal of Prognostics and Health Management,http://www.ijphm.org,https://doaj.org/toc/82506d2ae18d47aea2e80ccea29f4261,2153-2648,,The Prognostics and Health Management Society,United States
ABO : Interactive Journal for Women in the Arts 1640-1830,http://scholarcommons.usf.edu/abo/,https://doaj.org/toc/3dbcfa55ff9d4c5ba0fd4e55b203f17f,2157-7129,,Aphra Behn Society,United States
Journal of Pre-College Engineering Education Research,http://docs.lib.purdue.edu/jpeer/,https://doaj.org/toc/7ed0dea0daab4a858f3197abecd5a0f6,2157-9288,,Purdue University Press,United States
Global Health: Science and Practice Journal,http://www.ghspjournal.org/,https://doaj.org/toc/ca2477c355d649bea1984334944030c0,2169-575X,,Johns Hopkins University,United States
Ecozon@,http://www.ecozona.eu,https://doaj.org/toc/18df5a3f545640128a8e1edf427faf95,2171-9594,,"European Association for the Study of Literature, Culture and the Environment;  Universidad de Alcalá de Henares",Spain
GeoGraphos: Revista Digital para Estudiantes de Geografía y Ciencias Sociales,http://web.ua.es/revista-geographos-giecryal,https://doaj.org/toc/c5be47aa8b7a438e81c5a9e1a27c5096,2173-1276,,Universidad de Alicante,Spain
Revista de Artes Marciales Asiáticas,http://revpubli.unileon.es/ojs/index.php/artesmarciales/,https://doaj.org/toc/743695c70d104ee4a748459dc52fad9c,2174-0747,,Universidad de León,Spain
Revista Internacional de Relaciones Públicas,http://revistarelacionespublicas.uma.es/index.php/revrrpp/index,https://doaj.org/toc/16ae1b5833f14148a8c71a3f1f416b6a,2174-3681,,IIPR,Spain
Revista Sobre la Infancia y la Adolescencia,http://polipapers.upv.es/index.php/reinad,https://doaj.org/toc/12f0dc6f96144f939d1830a23046b227,2174-7210,,Universitat Politecnica de Valencia,Spain
Territorios en Formación,http://polired.upm.es/index.php/territoriosenformacion,https://doaj.org/toc/ce468f673f5b404e9020c03935a1040d,2174-8659,,Universidad Politécnica de Madrid,Spain
Lex Humana,http://seer.ucp.br/seer/index.php?journal=LexHumana&page=index,https://doaj.org/toc/53d3e1304fd04bf1b198132ffab72e6b,2175-0947,,Universidade Católica de Petrópolis,Brazil
Meta,http://revistas.cesgranrio.org.br/index.php/metaavaliacao/index,https://doaj.org/toc/e092d1bdfa294eadae4c79d134fa351c,2175-2753,,Faculdade Cesgranrio,Brazil
Urbe : Revista Brasileira de Gestão Urbana,http://www2.pucpr.br/reol/pb/index.php/urbe?dd99=actual,https://doaj.org/toc/e84faf3c238a4bdb89c267cfd27b77b1,2175-3369,,Editora Universitária Champagnat,Brazil
Germinal : Marxismo e Educação em Debate,http://www.portalseer.ufba.br/index.php/revistagerminal,https://doaj.org/toc/1d5872752d9946b29c491a52ce3c2ff4,2175-5604,,Universidade Federal da Bahia,Brazil
Revista Ambiente Contábil,https://periodicos.ufrn.br/ambiente/index,https://doaj.org/toc/70c9d294c56040ba8d7f34fa12e0e14f,2176-9036,,Universidade Federal do Rio Grande do Norte,Brazil
ECCOM,http://fatea.br/seer3/index.php/ECCOM,https://doaj.org/toc/278229c0de0146429670093ea3a3b4ef,2177-5087,,Centro Universitário Teresa D'Ávila - UNIFATEA,Brazil
Revista e-scrita : Revista do Curso de Letras da UNIABEU,https://revista.uniabeu.edu.br/index.php/RE/index,https://doaj.org/toc/24555bfcb25149ffb4fb523d0cae0a4c,2177-6288,,UNIABEU,Brazil
Cadernos do Pet Filosofia,http://www.ojs.ufpi.br/index.php/pet,https://doaj.org/toc/df6584e047d44a61be7c9a263b877662,2178-5880,,Universidade Federal do Piauí,Brazil
Colloquium Exactarum,http://journal.unoeste.br/index.php/ce,https://doaj.org/toc/a4be2d8057744986b31b968245f3c793,2178-8332,,Universidade do Oeste Paulista,Brazil
Rosa dos Ventos,http://www.ucs.br/etc/revistas/index.php/rosadosventos/issue/archive,https://doaj.org/toc/da191f6d88ab4a8984ec2106b1772592,2178-9061,,Universidade de Caxias do Sul,Brazil
Revista Uniabeu,http://www.uniabeu.edu.br/publica/index.php/RU,https://doaj.org/toc/d4c045cf9abf411aaf55a0970b343658,2179-5037,,Uniabeu,Brazil
Revista de Enfermagem da Universidade Federal de Santa Maria,https://periodicos.ufsm.br/index.php/reufsm,https://doaj.org/toc/6417f45387e84ed596c57a8d49643dd5,2179-7692,,Universidade Federal de Santa Maria,Brazil
Revista Direito e Práxis,http://www.e-publicacoes.uerj.br/index.php/revistaceaju/index,https://doaj.org/toc/b08631b4f4ec4e799b0467ef91830119,2179-8966,,Universidade do Estado do Rio de Janeiro,Brazil
Issues in Language Studies,http://www.ils.unimas.my/,https://doaj.org/toc/22fc3278e98c4b1a9b3bbcd2e30fdda3,2180-2726,,Universiti Malaysia Sarawak,Malaysia
Revista E-Psi,http://www.revistaepsi.com/,https://doaj.org/toc/9da737c4241d4458b38329ede050a62a,2182-7591,,Revista E-Psi associated with PsyAssessmentLab (Univ. Coimbra),Portugal
International Journal of Orthodox Theology,http://www.orthodox-theology.com,https://doaj.org/toc/815799dcb8b8435a872adb4a307d4331,2190-0582,,International Journal of Orthodox Theology,Germany
OASIcs : OpenAccess Series in Informatics,http://www.dagstuhl.de/oasics,https://doaj.org/toc/759bc28bcc174e25a1c571e9e29f9632,2190-6807,,Schloss Dagstuhl -- Leibniz-Zentrum fuer Informatik,Germany
Transcultural Studies,https://heiup.uni-heidelberg.de/journals/index.php/transcultural/index,https://doaj.org/toc/b457b230377d4d789ecf9480619996d4,2191-6411,,Ruprecht-Karls-Universität Heidelberg,Germany
Skriptum : Studentische Onlinezeitschrift für Geschichte und Geschichtsdidaktik,http://www.skriptum-geschichte.de,https://doaj.org/toc/b131513683cd4231a3ca7b96adace566,2192-4457,,Universität Mainz,Germany
International Journal of Engineering Pedagogy (iJEP),http://www.i-jep.org,https://doaj.org/toc/627d0dff9efd4cd2acf90735f7f56665,2192-4880,,International Association of Online Engineering (IAOE),Germany
Middle East : Topics & Arguments,http://meta-journal.net/,https://doaj.org/toc/8ab1cc5eeda249fb936e9b3ab4187c68,2196-629X,,Center for Near and Middle Eastern Studies,Germany
s u b  u r b a n : zeitschrift für kritische stadtforschung,http://zeitschrift-suburban.de/sys/index.php/suburban,https://doaj.org/toc/20f0ef81b8df4df290d8493978a8cb0f,2197-2567,,suburban : zeitschrift für kritische stadtforschung,Germany
Persona Studies,https://ojs.deakin.edu.au/index.php/ps,https://doaj.org/toc/0d926efbe70641caa9bd4812419c9d9b,2205-5258,,Deakin University,Australia
Preventive Medicine Reports,http://www.journals.elsevier.com/preventive-medicine-reports/,https://doaj.org/toc/4d0b831beec942f1965d9a95fb385fce,2211-3355,,Elsevier,United States
Journal of the LUCAS Graduate Conference,https://www.universiteitleiden.nl/en/research/research-output/humanities/journal-of-the-lucas-graduate-conference,https://doaj.org/toc/756f5c7b827f462bb7acd48a090fa337,2214-191X,,Leiden University Library,Netherlands
Biomolecular Detection and Quantification,http://www.journals.elsevier.com/biomolecular-detection-and-quantification/,https://doaj.org/toc/e9236385eb72402ca2277d657afe8307,2214-7535,,Elsevier,Germany
Metabolites,http://www.mdpi.com/journal/metabolites,https://doaj.org/toc/6d3b57b4a4b94c00a11240f888d56365,2218-1989,,MDPI AG,Switzerland
Biomolecules,https://www.mdpi.com/journal/biomolecules,https://doaj.org/toc/0f4a44f76da64fd38d127e6b87974e24,2218-273X,,MDPI AG,Switzerland
Robotics,http://www.mdpi.com/journal/robotics,https://doaj.org/toc/8452e06a4dd24cf6bc767e365772d7ed,2218-6581,,MDPI AG,Switzerland
Zeitschrift für Hochschulentwicklung,http://www.zfhe.at/,https://doaj.org/toc/a56f9147bb234045a0ace19e4aa6a2eb,2219-6994,,Forum Neue Medien in der Lehre Austria,Austria
Network Biology,http://www.iaees.org/publications/journals/nb/online-version.asp,https://doaj.org/toc/c58d43ba265d45b893fe720795098c64,2220-8879,,International Academy of Ecology and Environmental Sciences,Hong Kong
ISPRS International Journal of Geo-Information,http://www.mdpi.com/journal/ijgi,https://doaj.org/toc/6b8e10ce82164eb89180b9e95bde0360,2220-9964,,MDPI AG,Switzerland
Арктика и Север,http://arcticandnorth.ru/en/,https://doaj.org/toc/020c66b7d8414d7ebed6b11ccb64d6fa,2221-2698,,Northern Arctic Federal University,Russian Federation
Journal of Developmental Biology,http://www.mdpi.com/journal/jdb,https://doaj.org/toc/fd92412f832a49aaab31af4850ecc31b,2221-3759,,MDPI AG,Switzerland
Психология и право,http://psyjournals.ru/en/psyandlaw/,https://doaj.org/toc/5d400721fe5844769138843919c9ea06,2222-5196,,Moscow State University of Psychology and Education,Russian Federation
Plants,http://www.mdpi.com/journal/plants,https://doaj.org/toc/35be1b1c8961458e8f0176b62b0eac70,2223-7747,,MDPI AG,Switzerland
Climate,http://www.mdpi.com/journal/climate,https://doaj.org/toc/3838f04a4d0c4117a8f00e6acc8504a8,2225-1154,,MDPI AG,Switzerland
Russian Journal of Agricultural and Socio-Economic Sciences,http://www.rjoas.com,https://doaj.org/toc/6c98ccc269814c7083b4e7b99857097c,2226-1184,,Russian Journal of Agricultural and Socio-Economic Sciences,Russian Federation
Pharmacy,http://www.mdpi.com/journal/pharmacy,https://doaj.org/toc/8a8d67eb38c0483eb5873e6f911db273,2226-4787,,MDPI AG,Switzerland
Momentum Quarterly,http://www.momentum-quarterly.org/,https://doaj.org/toc/2850851eb7a34cb69a9409a3634c15c9,2226-5538,,Momentum - Verein für kritische Wissenschaft,Austria
International Journal of Financial Studies,http://www.mdpi.com/journal/ijfs,https://doaj.org/toc/032822484805415b931fa0af62f00a1a,2227-7072,,MDPI AG,Switzerland
Economies,http://www.mdpi.com/journal/economies,https://doaj.org/toc/47cd5019e9964b449236bb9263f77ed3,2227-7099,,MDPI AG,Switzerland
Education Sciences,http://www.mdpi.com/journal/education,https://doaj.org/toc/34f2032796fa4b69abd59b5204d38cfe,2227-7102,,MDPI AG,Switzerland
Proteomes,http://www.mdpi.com/journal/proteomes/,https://doaj.org/toc/87e8cabc19374d8baa9abe518b44da86,2227-7382,,MDPI AG,Switzerland
Revija za Univerzalno Odličnost,http://www.fos.unm.si/si/dejavnosti/zaloznistvo/?v=ejue,https://doaj.org/toc/b2c819d3bfad45efb9e48fb0f67923c1,2232-5204,,"Faculty of Organisation Studies, Novo Mesto",Slovenia
Autopsy and Case Reports,http://www.autopsyandcasereports.org,https://doaj.org/toc/029c39c0bc1f4eeeb0a2510d87b3f31a,2236-1960,,University of São Paulo,Brazil
Revista Compolítica,http://compolitica.org/revista/,https://doaj.org/toc/d51e120689f74ff39248c8dd501c573b,2236-4781,,Brazilian Association of Political Communication Scholars,Brazil
Revista Iberoamericana de Turismo,http://www.seer.ufal.br/index.php/ritur,https://doaj.org/toc/2efd26a26300478aaf15e71a964bba34,2236-6040,,Universidade Federal de Alagoas;	Universitat de Girona,Brazil
Perspectivas Online : Exatas e Engenharias,http://www.seer.perspectivasonline.com.br/index.php/EE/index,https://doaj.org/toc/0d184ea3ff20497ea2eac38bcf2698d3,2236-885X,,Institutos Superiores de Ensino do CENSA,Brazil
Entrepalavras: Revista de Linguística do Departamento de Letras Vernáculas da Universidade Federal do Ceará,http://www.entrepalavras.ufc.br/revista/index.php/Revista,https://doaj.org/toc/bd16710018a14eac90a7aad5e9b35485,2237-6321,,Universidade Federal do Ceará,Brazil
Studi Irlandesi : a Journal of Irish Studies,https://oajournals.fupress.net/index.php/bsfm-sijis/index,https://doaj.org/toc/50c45db29cfd43eb90fca98483025adc,2239-3978,,Firenze University Press,Italy
Nóema,http://riviste.unimi.it/index.php/noema/index,https://doaj.org/toc/bd74191636954abdb759b87a512e01e9,2239-5474,,Università degli Studi di Milano,Italy
Italian Journal of Food Safety,http://www.ijfs.it,https://doaj.org/toc/a9256f1dde7543ed86cc972004e26ccc,2239-7132,,PAGEPress Publications,Italy
Journal of Agriculture and Environment for International Development,http://www.jaeid.it,https://doaj.org/toc/5773a24ee977477f8c282c158d56f022,2240-2802,,Università degli Studi di Firenze,Italy
Bruno Pini Mathematical Analysis Seminar,http://mathematicalanalysis.unibo.it/,https://doaj.org/toc/fb2cd5cfcbf24cc79decbd2e94c8eea3,2240-2829,,University of Bologna,Italy
Intrecci d'arte,http://intreccidarte.unibo.it,https://doaj.org/toc/f87f6ef6902d439db0991c96e97a5b1d,2240-7251,,University of Bologna,Italy
Gli Spazi della Musica,http://www.ojs.unito.it/index.php/spazidellamusica,https://doaj.org/toc/01f5266f1b1849c2a0956da2c348dd5e,2240-7944,,Università degli Studi di Torino,Italy
Journal of Problem Based Learning in Higher Education,http://journals.aau.dk/index.php/pbl/index,https://doaj.org/toc/2ed8dae5bd464fd6bcdcd6b551c2d5b4,2246-0918,,Aalborg University Press,Denmark
Romanian Journal of Mathematics and Computer Science,http://www.rjm-cs.ro,https://doaj.org/toc/a8994ee6fa004650b33b171d624539a9,2247-689X,,Conspress,Romania
PedActa,http://padi.psiedu.ubbcluj.ro/pedacta/,https://doaj.org/toc/5e291902704644908602e7af5327906b,2248-3527,,Babes-Bolyai University,Romania
Identidades,https://iidentidadess.wordpress.com/,https://doaj.org/toc/03565e5227994f0eb066eea94cbe1b61,2250-5369,,Universidad Nacional de la Patagonia San Juan Bosco,Argentina
Lúdicamente,http://ppct.caicyt.gov.ar/ludicamente,https://doaj.org/toc/57d900f603bb43f6a14f3e83813f5ec8,2250-723X,,Ciudad Autónoma de Buenos Aires : C. Duek N. Enriz,Argentina
Pensa E-Jurnal: Pendidikan Sains,http://ejournal.unesa.ac.id/index.php/pensa,https://doaj.org/toc/9aee7d80b5fb4eafa270ed1497662f33,2252-7710,,Universitas Negeri Surabaya,Indonesia
UNESA Journal of Chemistry,http://ejournal.unesa.ac.id/index.php/unesa-journal-of-chemistry,https://doaj.org/toc/2e559a0549934e59a13289f21ec11456,2252-8180,,Universitas Negeri Surabaya,Indonesia
Econosains: Jurnal Online Ekonomi dan Pendidikan,http://journal.unj.ac.id/unj/index.php/econosains,https://doaj.org/toc/99478db0876942769847641140e0547a,2252-8490,,Universitas Negeri Jakarta,Indonesia
Unesa Journal of Chemical Education,http://ejournal.unesa.ac.id/index.php/journal-of-chemical-education/,https://doaj.org/toc/ce3b1f1a48c44954bcddc7f45f64e12a,2252-9454,,Universitas Negeri Surabaya,Indonesia
Culture & History Digital Journal,http://cultureandhistory.revistas.csic.es,https://doaj.org/toc/33f212a24380444c85462a5e9cb0f1cb,2253-797X,,Consejo Superior de Investigaciones Científicas,Spain
Caracteres: Estudios Culturales y Críticos de la Esfera Digital,http://revistacaracteres.net,https://doaj.org/toc/931e4140c801411e9a7e8bde35ea89c3,2254-4496,,Editorial Delirio,Spain
"ArDIn : Arte, Diseño e Ingeniería",http://polired.upm.es/index.php/ardin,https://doaj.org/toc/1e6d5535aea24124ab7e81fe55cee574,2254-8319,,Universidad Politécnica de Madrid,Spain
Revista Historia Autónoma,http://www.revistahistoriaautonoma.es,https://doaj.org/toc/cddffa4876774411a5e02e273d328557,2254-8726,,Universidad Autónoma de Madrid,Spain
Zibaldone: Estudios Italianos,https://ojs.uv.es/index.php/zibaldone/index,https://doaj.org/toc/17b9d61ac5c649b78fffd787c2e7a967,2255-3576,,Universitat de València,Spain
Las Torres de Lucca,http://www.lastorresdelucca.org/,https://doaj.org/toc/a8f28392c1334afbbd865ad4467922e2,2255-3827,,Universidad Complutense de Madrid,Spain
Lingue Antiche e Moderne,https://lingue-antiche-e-moderne.it/,https://doaj.org/toc/a22d56b3e7d747c985d0a83ce74e6427,2281-4841,,Associazione Laureati in Lingue,Italy
Healthcare in Low-resource Settings,http://www.pagepressjournals.org/index.php/hls,https://doaj.org/toc/3140ccc159e040eaadd3b8f092fe1c71,2281-7824,,PAGEPress Publications,Italy
Narrare i Gruppi,http://www.narrareigruppi.it/index.php?journal=narrareigruppi,https://doaj.org/toc/cdf758809a9448148f215c2a220b4007,2281-8960,,Giuseppe Licari,Italy
International Journal of Analysis and Applications,http://www.etamaths.com/index.php/ijaa,https://doaj.org/toc/4db78d6234f744dd97149a4dade7715d,2291-8639,,Etamaths Publishing,Canada
Intervalla : Platform for Intellectual Exchange,http://www.fus.edu/intervalla/,https://doaj.org/toc/b69e2775d1af4e0083ce5ea36d56854b,2296-3413,,Franklin University Switzerland,Switzerland
Jurnal Pendidikan Ekonomi dan Bisnis (JPEB),http://journal.unj.ac.id/unj/index.php/jpeb,https://doaj.org/toc/e08645e2a90d43d7affccd3cff21a9f9,2302-2663,,Fakultas Ekonomi Universitas Negeri Jakarta,Indonesia
"Jurnal Manajemen, Strategi Bisnis dan Kewirausahaan",http://ojs.unud.ac.id/index.php/jmbk,https://doaj.org/toc/c6656db938824e3c928cb90ba063c7a0,2302-8890,,Universitas Udayana,Indonesia
Jurnal Ilmiah Akuntansi dan Bisnis,http://ojs.unud.ac.id/index.php/jiab,https://doaj.org/toc/92e47bc414f9431da7efaa18e46e4c5b,2303-1018,,Universitas Udayana,Indonesia
